( 0 , 'there are such a large amount of')
( 15620 , 'expenses')
( 15620 , 'fees')
( 15620 , 'prices')
( 15620 , 'expenditures')
( 15621 , 'ideas')
( 15621 , 'concepts')
( 15621 , 'thoughts')
( 15622 , 'kids')
( 15622 , 'children')
( 15622 , 'youngsters')
( 15622 , 'childrens')
( 15622 , 'young children')
( 15622 , 'little ones')
( 15622 , 'young ones')
( 15622 , 'teenagers')
( 15623 , 'real')
( 15623 , 'actual')
( 15623 , 'genuine')
( 15623 , 'authentic')
( 15623 , 'true')
( 15624 , 'town')
( 15624 , 'city')
( 15625 , 'learning')
( 15625 , 'studying')
( 15625 , 'gaining knowledge of')
( 15625 , 'getting to know')
( 15625 , 'researching')
( 15625 , 'discovering')
( 15626 , 'mentioned')
( 15626 , 'talked about')
( 15626 , 'pointed out')
( 15626 , 'said')
( 15626 , 'stated')
( 15626 , 'spoke of')
( 15626 , 'referred to')
( 15626 , 'noted')
( 15626 , 'observed')
( 15627 , 'history')
( 15627 , 'historical past')
( 15627 , 'background')
( 15627 , 'heritage')
( 15628 , 'physical')
( 15628 , 'bodily')
( 15629 , 'shipping')
( 15629 , 'delivery')
( 15629 , 'transport')
( 15630 , 'uploading')
( 15630 , 'importing')
( 15631 , 'professional')
( 15631 , 'expert')
( 15632 , 'acting')
( 15632 , 'appearing')
( 15632 , 'performing')
( 15633 , 'highly')
( 15633 , 'really')
( 15633 , 'exceptionally')
( 15633 , 'particularly')
( 15633 , 'incredibly')
( 15633 , 'exceedingly')
( 15633 , 'tremendously')
( 15633 , 'awfully')
( 15633 , 'quite')
( 15633 , 'enormously')
( 15634 , 'needed')
( 15634 , 'essential')
( 15634 , 'necessary')
( 15634 , 'mandatory')
( 15635 , 'law')
( 15635 , 'regulation')
( 15636 , 'hurt')
( 15636 , 'harm')
( 15636 , 'damage')
( 15637 , 'general')
( 15637 , 'common')
( 15637 , 'basic')
( 15637 , 'normal')
( 15637 , 'standard')
( 15637 , 'universal')
( 15637 , 'overall')
( 15637 , 'usual')
( 15637 , 'ordinary')
( 15637 , 'average')
( 15637 , 'typical')
( 15638 , 'hearing')
( 15638 , 'listening to')
( 15639 , 'every time')
( 15639 , 'anytime')
( 15639 , 'each time')
( 15640 , 'walk')
( 15640 , 'stroll')
( 15641 , 'choose')
( 15641 , 'select')
( 15641 , 'pick out')
( 15641 , 'decide on')
( 15641 , 'opt for')
( 15641 , 'decide upon')
( 15642 , 'cars')
( 15642 , 'automobiles')
( 15642 , 'autos')
( 15642 , 'vehicles')
( 15643 , 'solid')
( 15643 , 'strong')
( 15643 , 'good')
( 15643 , 'reliable')
( 15643 , 'stable')
( 15643 , 'sturdy')
( 15644 , 'attempts')
( 15644 , 'tries')
( 15645 , 'applications')
( 15645 , 'purposes')
( 15645 , 'functions')
( 15646 , 'energy')
( 15646 , 'power')
( 15647 , 'food')
( 15647 , 'meals')
( 15647 , 'foodstuff')
( 15647 , 'nutrition')
( 15647 , 'nutrients')
( 15648 , 'entire')
( 15648 , 'complete')
( 15648 , 'whole')
( 15648 , 'total')
( 15649 , 'situations')
( 15649 , 'conditions')
( 15650 , 'attitude')
( 15650 , 'approach')
( 15650 , 'frame of mind')
( 15650 , 'mindset')
( 15650 , 'mind-set')
( 15651 , 'achieving')
( 15651 , 'attaining')
( 15651 , 'reaching')
( 15651 , 'accomplishing')
( 15652 , 'babies')
( 15652 , 'infants')
( 15652 , 'toddlers')
( 15652 , 'children')
( 15652 , 'little ones')
( 15653 , 'support')
( 15653 , 'help')
( 15654 , 'attract')
( 15654 , 'appeal to')
( 15654 , 'entice')
( 15655 , 'choosing')
( 15655 , 'selecting')
( 15655 , 'deciding on')
( 15655 , 'picking')
( 15656 , 'determination')
( 15656 , 'willpower')
( 15656 , 'dedication')
( 15657 , 'pc')
( 15657 , 'computer')
( 15658 , 'data')
( 15658 , 'information')
( 15659 , 'hundreds')
( 15659 , 'thousands')
( 15659 , 'heaps')
( 15659 , 'lots')
( 15660 , 'meetings')
( 15660 , 'conferences')
( 15661 , 'pace')
( 15661 , 'tempo')
( 15662 , 'homeowner')
( 15662 , 'home owner')
( 15662 , 'house owner')
( 15662 , 'owner of a house')
( 15662 , 'property owner')
( 15663 , 'preserve')
( 15663 , 'protect')
( 15664 , 'files')
( 15664 , 'documents')
( 15664 , 'data')
( 15664 , 'records')
( 15664 , 'information')
( 15664 , 'archives')
( 15665 , 'cakes')
( 15665 , 'tarts')
( 15665 , 'brownies')
( 15665 , 'truffles')
( 15665 , 'muffins')
( 15666 , 'furthermore')
( 15666 , 'moreover')
( 15667 , 'anywhere')
( 15667 , 'everywhere')
( 15668 , 'diverse')
( 15668 , 'varied')
( 15668 , 'different')
( 15668 , 'assorted')
( 15668 , 'various')
( 15669 , 'usage')
( 15669 , 'utilization')
( 15670 , 'advice')
( 15670 , 'guidance')
( 15670 , 'assistance')
( 15670 , 'information')
( 15670 , 'counsel')
( 15670 , 'tips')
( 15670 , 'suggestions')
( 15671 , 'art')
( 15671 , 'artwork')
( 15671 , 'paintings')
( 15672 , 'towards')
( 15672 , 'in the direction of')
( 15672 , 'in direction of')
( 15673 , 'effects')
( 15673 , 'outcomes')
( 15673 , 'results')
( 15673 , 'consequences')
( 15674 , 'jump')
( 15674 , 'leap')
( 15674 , 'bounce')
( 15675 , 'diagnosis')
( 15675 , 'analysis')
( 15675 , 'prognosis')
( 15676 , 'pain')
( 15676 , 'discomfort')
( 15676 , 'soreness')
( 15677 , 'seriously')
( 15677 , 'critically')
( 15677 , 'significantly')
( 15677 , 'severely')
( 15678 , 'ensure')
( 15678 , 'make sure')
( 15678 , 'make certain')
( 15678 , 'be sure')
( 15679 , 'assure')
( 15679 , 'guarantee')
( 15680 , 'ascertain')
( 15680 , 'confirm')
( 15680 , 'verify')
( 15681 , 'attractive')
( 15681 , 'appealing')
( 15681 , 'alluring')
( 15681 , 'beautiful')
( 15681 , 'pleasing')
( 15681 , 'desirable')
( 15681 , 'eye-catching')
( 15681 , 'captivating')
( 15681 , 'fascinating')
( 15682 , 'concept')
( 15682 , 'idea')
( 15682 , 'theory')
( 15682 , 'conception')
( 15682 , 'thought')
( 15683 , 'enjoyed')
( 15683 , 'loved')
( 15684 , 'heavily')
( 15684 , 'seriously')
( 15685 , 'factors')
( 15685 , 'elements')
( 15685 , 'aspects')
( 15685 , 'components')
( 15686 , 'similar')
( 15686 , 'comparable')
( 15687 , 'forms')
( 15687 , 'types')
( 15687 , 'varieties')
( 15687 , 'kinds')
( 15688 , 'disease')
( 15688 , 'illness')
( 15688 , 'ailment')
( 15688 , 'disorder')
( 15688 , 'sickness')
( 15688 , 'affliction')
( 15689 , 'team')
( 15689 , 'group')
( 15689 , 'crew')
( 15690 , 'sure')
( 15690 , 'certain')
( 15690 , 'positive')
( 15691 , 'excitement')
( 15691 , 'exhilaration')
( 15691 , 'pleasure')
( 15692 , 'becoming')
( 15692 , 'growing')
( 15692 , 'turning out to be')
( 15692 , 'starting to be')
( 15692 , 'growing to be')
( 15692 , 'transforming into')
( 15693 , 'enables')
( 15693 , 'facilitates')
( 15693 , 'allows')
( 15693 , 'helps')
( 15694 , 'times')
( 15694 , 'instances')
( 15695 , 'easier')
( 15695 , 'simpler')
( 15695 , 'less difficult')
( 15695 , 'less complicated')
( 15695 , 'less demanding')
( 15695 , 'more straightforward')
( 15695 , 'more convenient')
( 15696 , 'explained')
( 15696 , 'defined')
( 15697 , 'protect')
( 15697 , 'safeguard')
( 15697 , 'guard')
( 15697 , 'shield')
( 15697 , 'defend')
( 15697 , 'maintain')
( 15697 , 'secure')
( 15697 , 'preserve')
( 15697 , 'take care of')
( 15698 , 'buying')
( 15698 , 'purchasing')
( 15698 , 'procuring')
( 15698 , 'paying for')
( 15698 , 'deciding to buy')
( 15699 , 'thoughts')
( 15699 , 'ideas')
( 15700 , 'joy')
( 15700 , 'pleasure')
( 15701 , 'improve')
( 15701 , 'enhance')
( 15701 , 'increase')
( 15701 , 'boost')
( 15701 , 'develop')
( 15701 , 'advance')
( 15701 , 'strengthen')
( 15702 , 'hotel')
( 15702 , 'motel')
( 15702 , 'resort')
( 15702 , 'inn')
( 15702 , 'lodge')
( 15703 , 'common')
( 15703 , 'normal')
( 15703 , 'ordinary')
( 15703 , 'usual')
( 15703 , 'typical')
( 15704 , 'better')
( 15704 , 'greater')
( 15704 , 'improved')
( 15704 , 'superior')
( 15704 , 'enhanced')
( 15704 , 'more suitable')
( 15704 , 'more advantageous')
( 15704 , 'stronger')
( 15704 , 'more desirable')
( 15705 , 'perfect')
( 15705 , 'ideal')
( 15705 , 'excellent')
( 15705 , 'best')
( 15705 , 'fantastic')
( 15705 , 'wonderful')
( 15705 , 'appropriate')
( 15705 , 'just right')
( 15705 , 'fabulous')
( 15705 , 'splendid')
( 15705 , 'most suitable')
( 15705 , 'ultimate')
( 15705 , 'superb')
( 15705 , 'most excellent')
( 15705 , 'correct')
( 15705 , 'most appropriate')
( 15705 , 'well suited')
( 15705 , 'the best option')
( 15705 , 'best suited')
( 15705 , 'greatest')
( 15706 , 'lowering')
( 15706 , 'decreasing')
( 15706 , 'reducing')
( 15707 , 'commitment')
( 15707 , 'dedication')
( 15708 , 'impact')
( 15708 , 'effect')
( 15708 , 'influence')
( 15708 , 'impression')
( 15709 , 'cases')
( 15709 , 'instances')
( 15709 , 'circumstances')
( 15709 , 'situations')
( 15710 , 'events')
( 15710 , 'occasions')
( 15711 , 'numerous')
( 15711 , 'several')
( 15711 , 'a number of')
( 15711 , 'quite a few')
( 15711 , 'countless')
( 15711 , 'various')
( 15712 , 'ability')
( 15712 , 'capability')
( 15712 , 'capacity')
( 15712 , 'potential')
( 15712 , 'means')
( 15712 , 'skill')
( 15713 , 'wherein')
( 15713 , 'in which')
( 15714 , 'listen')
( 15714 , 'pay attention')
( 15714 , 'hear')
( 15715 , 'diseases')
( 15715 , 'illnesses')
( 15715 , 'ailments')
( 15716 , 'online')
( 15716 , 'on-line')
( 15716 , 'on line')
( 15717 , 'currently')
( 15717 , 'presently')
( 15717 , 'at present')
( 15717 , 'at the moment')
( 15718 , 'during')
( 15718 , 'throughout')
( 15718 , 'in the course of')
( 15718 , 'for the duration of')
( 15718 , 'for the period of')
( 15718 , 'in the time of')
( 15718 , 'throughout the time of')
( 15718 , 'for the time of')
( 15719 , 'located')
( 15719 , 'positioned')
( 15719 , 'placed')
( 15720 , 'install')
( 15720 , 'set up')
( 15721 , 'enjoy')
( 15721 , 'take pleasure in')
( 15721 , 'get pleasure from')
( 15721 , 'appreciate')
( 15721 , 'delight in')
( 15721 , 'have fun with')
( 15721 , 'savor')
( 15721 , 'relish')
( 15721 , 'savour')
( 15722 , 'although')
( 15722 , 'even though')
( 15722 , 'despite the fact that')
( 15722 , 'however')
( 15722 , 'even if')
( 15722 , 'in spite of the fact that')
( 15722 , 'notwithstanding')
( 15722 , 'besides the fact that')
( 15723 , 'price')
( 15723 , 'cost')
( 15723 , 'rate')
( 15723 , 'fee')
( 15724 , 'agents')
( 15724 , 'brokers')
( 15725 , 'newbie')
( 15725 , 'beginner')
( 15726 , 'usually')
( 15726 , 'generally')
( 15726 , 'normally')
( 15726 , 'typically')
( 15726 , 'commonly')
( 15726 , 'mostly')
( 15726 , 'ordinarily')
( 15726 , 'often')
( 15726 , 'regularly')
( 15726 , 'as a rule')
( 15726 , 'in general')
( 15726 , 'in most cases')
( 15726 , 'more often than not')
( 15726 , 'quite often')
( 15726 , 'frequently')
( 15726 , 'customarily')
( 15726 , 'mainly')
( 15726 , 'almost always')
( 15727 , 'increased')
( 15727 , 'elevated')
( 15728 , 'likely')
( 15728 , 'probably')
( 15728 , 'probable')
( 15728 , 'in all likelihood')
( 15728 , 'possibly')
( 15729 , 'theory')
( 15729 , 'concept')
( 15729 , 'principle')
( 15729 , 'idea')
( 15730 , 'complex')
( 15730 , 'complicated')
( 15731 , 'results')
( 15731 , 'outcomes')
( 15731 , 'effects')
( 15731 , 'consequences')
( 15732 , 'whether')
( 15732 , 'even if')
( 15732 , 'no matter if')
( 15733 , 'tv')
( 15733 , 'television')
( 15734 , 'students')
( 15734 , 'scholars')
( 15734 , 'pupils')
( 15735 , 'options')
( 15735 , 'choices')
( 15735 , 'alternatives')
( 15735 , 'selections')
( 15735 , 'possibilities')
( 15736 , 'skateboarders')
( 15736 , 'skate boarders')
( 15737 , 'hobby')
( 15737 , 'interest')
( 15737 , 'pastime')
( 15737 , 'activity')
( 15738 , 'common')
( 15738 , 'widespread')
( 15738 , 'frequent')
( 15738 , 'popular')
( 15738 , 'typical')
( 15738 , 'normal')
( 15738 , 'prevalent')
( 15738 , 'usual')
( 15738 , 'standard')
( 15738 , 'everyday')
( 15738 , 'familiar')
( 15738 , 'well-known')
( 15738 , 'general')
( 15738 , 'regular')
( 15738 , 'commonplace')
( 15738 , 'universal')
( 15738 , 'accepted')
( 15738 , 'generic')
( 15738 , 'ordinary')
( 15738 , 'widely wide-spread')
( 15738 , 'regularly occurring')
( 15738 , 'conventional')
( 15738 , 'customary')
( 15738 , 'established')
( 15738 , 'time-honored')
( 15739 , 'result')
( 15739 , 'outcome')
( 15739 , 'effect')
( 15739 , 'consequence')
( 15740 , 'becomes')
( 15740 , 'will become')
( 15740 , 'turns into')
( 15741 , 'sales')
( 15741 , 'revenues')
( 15742 , 'damage')
( 15742 , 'harm')
( 15742 , 'hurt')
( 15743 , 'customer')
( 15743 , 'client')
( 15743 , 'consumer')
( 15743 , 'shopper')
( 15744 , 'truly')
( 15744 , 'absolutely')
( 15744 , 'genuinely')
( 15744 , 'definitely')
( 15744 , 'really')
( 15744 , 'certainly')
( 15745 , 'videos')
( 15745 , 'movies')
( 15745 , 'video clips')
( 15746 , 'relatives')
( 15746 , 'relations')
( 15746 , 'family members')
( 15746 , 'kinfolk')
( 15746 , 'kin')
( 15746 , 'family')
( 15747 , 'competition')
( 15747 , 'opposition')
( 15748 , 'contains')
( 15748 , 'consists of')
( 15748 , 'includes')
( 15748 , 'carries')
( 15748 , 'incorporates')
( 15749 , 'types')
( 15749 , 'kinds')
( 15749 , 'sorts')
( 15749 , 'varieties')
( 15750 , 'economy')
( 15750 , 'financial system')
( 15750 , 'economic system')
( 15751 , 'clients')
( 15751 , 'customers')
( 15751 , 'purchasers')
( 15751 , 'consumers')
( 15751 , 'clientele')
( 15751 , 'shoppers')
( 15752 , 'caution')
( 15752 , 'warning')
( 15753 , 'prevent')
( 15753 , 'avoid')
( 15753 , 'preclude')
( 15753 , 'avert')
( 15753 , 'forestall')
( 15753 , 'ward off')
( 15754 , 'ultra')
( 15754 , 'extremely')
( 15755 , 'area')
( 15755 , 'region')
( 15756 , 'negative')
( 15756 , 'adverse')
( 15756 , 'unfavorable')
( 15756 , 'damaging')
( 15756 , 'destructive')
( 15756 , 'unfavourable')
( 15756 , 'detrimental')
( 15757 , 'advised')
( 15757 , 'recommended')
( 15757 , 'informed')
( 15757 , 'counseled')
( 15757 , 'suggested')
( 15758 , 'putting')
( 15758 , 'placing')
( 15759 , 'significant')
( 15759 , 'considerable')
( 15759 , 'substantial')
( 15759 , 'important')
( 15759 , 'major')
( 15759 , 'great')
( 15759 , 'sizeable')
( 15759 , 'noticeable')
( 15759 , 'substantive')
( 15760 , 'innovative')
( 15760 , 'revolutionary')
( 15760 , 'progressive')
( 15760 , 'modern')
( 15761 , 'injury')
( 15761 , 'damage')
( 15761 , 'harm')
( 15762 , 'electronic')
( 15762 , 'digital')
( 15763 , 'characteristics')
( 15763 , 'qualities')
( 15763 , 'traits')
( 15763 , 'features')
( 15764 , 'nutritional')
( 15764 , 'dietary')
( 15765 , 'shower')
( 15765 , 'bathe')
( 15766 , 'without')
( 15766 , 'with out')
( 15766 , 'devoid of')
( 15767 , 'known')
( 15767 , 'recognized')
( 15767 , 'regarded')
( 15767 , 'recognised')
( 15767 , 'acknowledged')
( 15768 , 'hotel')
( 15768 , 'lodge')
( 15768 , 'inn')
( 15768 , 'motel')
( 15769 , 'rich')
( 15769 , 'wealthy')
( 15769 , 'prosperous')
( 15770 , 'around')
( 15770 , 'round')
( 15771 , 'concept')
( 15771 , 'idea')
( 15771 , 'theory')
( 15771 , 'thought')
( 15772 , 'owning')
( 15772 , 'possessing')
( 15773 , 'endless')
( 15773 , 'countless')
( 15773 , 'infinite')
( 15773 , 'limitless')
( 15774 , 'helpful')
( 15774 , 'useful')
( 15774 , 'beneficial')
( 15775 , 'weather')
( 15775 , 'climate')
( 15776 , 'everything')
( 15776 , 'every thing')
( 15776 , 'every little thing')
( 15776 , 'the whole lot')
( 15776 , 'all the things')
( 15776 , 'every part')
( 15776 , 'all the pieces')
( 15777 , 'inventions')
( 15777 , 'innovations')
( 15778 , 'creative')
( 15778 , 'innovative')
( 15778 , 'resourceful')
( 15778 , 'inventive')
( 15778 , 'imaginative')
( 15778 , 'imaginitive')
( 15778 , 'ingenious')
( 15779 , 'chances')
( 15779 , 'probabilities')
( 15779 , 'possibilities')
( 15779 , 'percentages')
( 15780 , 'people')
( 15780 , 'individuals')
( 15780 , 'folks')
( 15780 , 'persons')
( 15781 , 'offered')
( 15781 , 'provided')
( 15781 , 'supplied')
( 15781 , 'presented')
( 15782 , 'efficiently')
( 15782 , 'effectively')
( 15783 , 'large')
( 15783 , 'big')
( 15783 , 'huge')
( 15783 , 'great')
( 15783 , 'significant')
( 15783 , 'good sized')
( 15783 , 'massive')
( 15783 , 'vast')
( 15783 , 'substantial')
( 15783 , 'sizeable')
( 15783 , 'enormous')
( 15783 , 'extensive')
( 15783 , 'giant')
( 15783 , 'widespread')
( 15783 , 'sizable')
( 15783 , 'tremendous')
( 15784 , 'supplement')
( 15784 , 'complement')
( 15785 , 'price')
( 15785 , 'cost')
( 15785 , 'value')
( 15785 , 'fee')
( 15786 , 'cure')
( 15786 , 'remedy')
( 15786 , 'treatment')
( 15787 , 'accurate')
( 15787 , 'precise')
( 15788 , 'something')
( 15788 , 'some thing')
( 15788 , 'one thing')
( 15789 , 'often')
( 15789 , 'frequently')
( 15789 , 'usually')
( 15789 , 'generally')
( 15789 , 'normally')
( 15789 , 'typically')
( 15789 , 'regularly')
( 15789 , 'many times')
( 15789 , 'commonly')
( 15789 , 'in many instances')
( 15789 , 'oftentimes')
( 15790 , 'thousands')
( 15790 , 'hundreds')
( 15790 , '1000''s')
( 15791 , 'huge')
( 15791 , 'large')
( 15791 , 'big')
( 15791 , 'enormous')
( 15791 , 'massive')
( 15791 , 'vast')
( 15792 , 'recommendation')
( 15792 , 'suggestion')
( 15792 , 'advice')
( 15793 , 'humans')
( 15793 , 'people')
( 15793 , 'human beings')
( 15794 , 'quite')
( 15794 , 'incredibly')
( 15794 , 'pretty')
( 15794 , 'highly')
( 15794 , 'rather')
( 15794 , 'especially')
( 15794 , 'exceptionally')
( 15794 , 'particularly')
( 15795 , 'thoughts')
( 15795 , 'ideas')
( 15796 , 'try')
( 15796 , 'attempt')
( 15797 , 'avoided')
( 15797 , 'prevented')
( 15798 , 'budget')
( 15798 , 'price range')
( 15799 , 'bright')
( 15799 , 'shiny')
( 15799 , 'brilliant')
( 15799 , 'vibrant')
( 15799 , 'vivid')
( 15800 , 'physical')
( 15800 , 'bodily')
( 15801 , 'wish')
( 15801 , 'desire')
( 15801 , 'hope')
( 15802 , 'little one')
( 15802 , 'toddler')
( 15802 , 'infant')
( 15803 , 'bodyweight')
( 15803 , 'body weight')
( 15804 , 'general')
( 15804 , 'common')
( 15804 , 'basic')
( 15805 , 'marketers')
( 15805 , 'entrepreneurs')
( 15806 , 'better')
( 15806 , 'greater')
( 15806 , 'more suitable')
( 15806 , 'more advantageous')
( 15806 , 'more desirable')
( 15806 , 'more effective')
( 15806 , 'more beneficial')
( 15807 , 'avoid')
( 15807 , 'keep away from')
( 15807 , 'stay away from')
( 15807 , 'steer clear of')
( 15807 , 'evade')
( 15807 , 'ward off')
( 15807 , 'circumvent')
( 15807 , 'stay clear of')
( 15807 , 'dodge')
( 15807 , 'avert')
( 15807 , 'sidestep')
( 15808 , 'fine')
( 15808 , 'nice')
( 15808 , 'fantastic')
( 15808 , 'effective')
( 15808 , 'superb')
( 15808 , 'advantageous')
( 15808 , 'positive')
( 15808 , 'high-quality')
( 15808 , 'high quality')
( 15808 , 'wonderful')
( 15808 , 'tremendous')
( 15809 , 'today')
( 15809 , 'right now')
( 15809 , 'at present')
( 15809 , 'at this time')
( 15809 , 'as we speak')
( 15809 , 'at the moment')
( 15809 , 'in the present day')
( 15809 , 'immediately')
( 15809 , 'right this moment')
( 15810 , 'especially')
( 15810 , 'particularly')
( 15810 , 'specifically')
( 15810 , 'specially')
( 15810 , 'in particular')
( 15810 , 'mainly')
( 15811 , 'fortunately')
( 15811 , 'luckily')
( 15811 , 'fortuitously')
( 15811 , 'thankfully')
( 15811 , 'happily')
( 15812 , 'diverse')
( 15812 , 'distinct')
( 15812 , 'distinctive')
( 15812 , 'numerous')
( 15812 , 'varied')
( 15812 , 'multiple')
( 15812 , 'dissimilar')
( 15812 , 'assorted')
( 15813 , 'communicate')
( 15813 , 'speak')
( 15813 , 'talk')
( 15814 , 'money')
( 15814 , 'cash')
( 15815 , 'learn')
( 15815 , 'study')
( 15815 , 'be taught')
( 15816 , 'spyware')
( 15816 , 'spy ware')
( 15817 , 'reading')
( 15817 , 'studying')
( 15817 , 'analyzing')
( 15817 , 'examining')
( 15817 , 'interpreting')
( 15818 , 'instant')
( 15818 , 'immediate')
( 15818 , 'prompt')
( 15818 , 'on the spot')
( 15818 , 'instantaneous')
( 15819 , 'beneficial')
( 15819 , 'advantageous')
( 15819 , 'helpful')
( 15819 , 'useful')
( 15819 , 'effective')
( 15819 , 'valuable')
( 15819 , 'constructive')
( 15819 , 'positive')
( 15820 , 'coffee')
( 15820 , 'espresso')
( 15821 , 'practice')
( 15821 , 'exercise')
( 15822 , 'person')
( 15822 , 'individual')
( 15822 , 'human being')
( 15822 , 'man or woman')
( 15823 , 'through')
( 15823 , 'via')
( 15823 , 'by way of')
( 15823 , 'by means of')
( 15823 , 'by')
( 15823 , 'with the aid of')
( 15823 , 'by using')
( 15824 , 'as a result of')
( 15824 , 'due to')
( 15824 , 'because of')
( 15825 , 'ingredients')
( 15825 , 'components')
( 15825 , 'elements')
( 15825 , 'substances')
( 15826 , 'quite')
( 15826 , 'incredibly')
( 15826 , 'pretty')
( 15826 , 'highly')
( 15826 , 'rather')
( 15826 , 'especially')
( 15826 , 'exceptionally')
( 15826 , 'fairly')
( 15826 , 'particularly')
( 15826 , 'exceedingly')
( 15826 , 'extraordinarily')
( 15826 , 'relatively')
( 15826 , 'enormously')
( 15826 , 'tremendously')
( 15826 , 'notably')
( 15826 , 'noticeably')
( 15826 , 'surprisingly')
( 15826 , 'distinctly')
( 15826 , 'fantastically')
( 15827 , 'tremendous')
( 15827 , 'super')
( 15827 , 'large')
( 15827 , 'great')
( 15828 , 'appearance')
( 15828 , 'visual appeal')
( 15829 , 'illness')
( 15829 , 'ailment')
( 15830 , 'take pleasure in')
( 15830 , 'get pleasure from')
( 15831 , 'beauty')
( 15831 , 'attractiveness')
( 15831 , 'splendor')
( 15831 , 'elegance')
( 15832 , 'optional')
( 15832 , 'optionally available')
( 15832 , 'elective')
( 15832 , 'non-compulsory')
( 15832 , 'non-obligatory')
( 15833 , 'you''ll')
( 15833 , 'you will')
( 15834 , 'prefer')
( 15834 , 'choose')
( 15834 , 'favor')
( 15834 , 'want')
( 15834 , 'desire')
( 15835 , 'rules')
( 15835 , 'guidelines')
( 15835 , 'regulations')
( 15835 , 'policies')
( 15836 , 'treatment')
( 15836 , 'remedy')
( 15836 , 'therapy')
( 15836 , 'medical care')
( 15837 , 'soft')
( 15837 , 'gentle')
( 15837 , 'delicate')
( 15837 , 'tender')
( 15837 , 'smooth')
( 15837 , 'mushy')
( 15837 , 'comfortable')
( 15838 , 'stressful')
( 15838 , 'tense')
( 15838 , 'annoying')
( 15838 , 'demanding')
( 15838 , 'traumatic')
( 15838 , 'disturbing')
( 15838 , 'worrying')
( 15838 , 'nerve-racking')
( 15838 , 'irritating')
( 15838 , 'aggravating')
( 15838 , 'hectic')
( 15838 , 'anxious')
( 15839 , 'train')
( 15839 , 'practice')
( 15839 , 'prepare')
( 15840 , 'devote')
( 15840 , 'dedicate')
( 15840 , 'commit')
( 15841 , 'policies')
( 15841 , 'guidelines')
( 15842 , 'removal')
( 15842 , 'elimination')
( 15843 , 'extensive')
( 15843 , 'huge')
( 15843 , 'wide')
( 15844 , 'rules')
( 15844 , 'regulations')
( 15844 , 'guidelines')
( 15844 , 'policies')
( 15845 , 'gains')
( 15845 , 'positive aspects')
( 15845 , 'features')
( 15845 , 'good points')
( 15845 , 'positive factors')
( 15845 , 'beneficial properties')
( 15846 , 'element')
( 15846 , 'factor')
( 15846 , 'component')
( 15846 , 'aspect')
( 15846 , 'ingredient')
( 15847 , 'decide')
( 15847 , 'choose')
( 15847 , 'determine')
( 15847 , 'come to a decision')
( 15847 , 'settle on')
( 15848 , 'centers')
( 15848 , 'facilities')
( 15849 , 'hire')
( 15849 , 'employ')
( 15850 , 'sure')
( 15850 , 'certain')
( 15850 , 'positive')
( 15851 , 'agencies')
( 15851 , 'businesses')
( 15851 , 'companies')
( 15851 , 'organizations')
( 15852 , 'popularity')
( 15852 , 'recognition')
( 15852 , 'reputation')
( 15852 , 'attractiveness')
( 15852 , 'acceptance')
( 15853 , 'strategies')
( 15853 , 'techniques')
( 15853 , 'methods')
( 15853 , 'approaches')
( 15853 , 'procedures')
( 15853 , 'processes')
( 15853 , 'tactics')
( 15854 , 'trainer')
( 15854 , 'coach')
( 15855 , 'clean')
( 15855 , 'clear')
( 15856 , 'factory')
( 15856 , 'manufacturing unit')
( 15856 , 'manufacturing facility')
( 15857 , 'sophisticated')
( 15857 , 'state-of-the-art')
( 15858 , 'leading-edge')
( 15858 , 'modern')
( 15859 , 'health')
( 15859 , 'wellbeing')
( 15859 , 'wellness')
( 15859 , 'well being')
( 15859 , 'well-being')
( 15860 , 'replace')
( 15860 , 'substitute')
( 15860 , 'exchange')
( 15860 , 'change')
( 15861 , 'solar')
( 15861 , 'photo voltaic')
( 15862 , 'office')
( 15862 , 'workplace')
( 15862 , 'place of work')
( 15863 , 'visitors')
( 15863 , 'guests')
( 15863 , 'travellers')
( 15863 , 'travelers')
( 15864 , 'recent')
( 15864 , 'current')
( 15864 , 'latest')
( 15865 , 'turbines')
( 15865 , 'generators')
( 15866 , 'position')
( 15866 , 'place')
( 15867 , 'bad')
( 15867 , 'undesirable')
( 15868 , 'beaches')
( 15868 , 'seashores')
( 15869 , 'done')
( 15869 , 'carried out')
( 15869 , 'accomplished')
( 15869 , 'completed')
( 15869 , 'executed')
( 15869 , 'finished')
( 15869 , 'achieved')
( 15869 , 'performed')
( 15870 , 'expect')
( 15870 , 'anticipate')
( 15870 , 'count on')
( 15871 , 'historical')
( 15871 , 'historic')
( 15872 , 'supplements')
( 15872 , 'supplementations')
( 15872 , 'vitamins')
( 15873 , 'advised')
( 15873 , 'recommended')
( 15873 , 'suggested')
( 15873 , 'cautioned')
( 15873 , 'counseled')
( 15874 , 'fits')
( 15874 , 'suits')
( 15874 , 'matches')
( 15875 , 'protect')
( 15875 , 'guard')
( 15875 , 'safeguard')
( 15875 , 'defend')
( 15875 , 'shield')
( 15875 , 'look after')
( 15875 , 'preserve')
( 15875 , 'shelter')
( 15875 , 'take care of')
( 15876 , 'middle')
( 15876 , 'center')
( 15877 , 'you''ve')
( 15877 , 'you have')
( 15878 , 'shows')
( 15878 , 'exhibits')
( 15879 , 'thankful')
( 15879 , 'grateful')
( 15880 , 'activity')
( 15880 , 'exercise')
( 15881 , 'honest')
( 15881 , 'truthful')
( 15881 , 'trustworthy')
